age_upon_outcome,animal_id,animal_type,breed,color,date_of_birth,datetime,monthyear,name,outcome_subtype,outcome_type,sex_upon_outcome,age,puppy,dob_year,dob_month,dob_monthyear,outcome_month,outcome_year,outcome_weekday,outcome_hour,color1,color2
2 months,A683716,Bird,chicken,brown/yellow,2014-05-14 00:00:00,2014-07-16 13:03:00,2014-07-16 13:03:00,,Partner,Transfer,Intact Female,63,True,2014,5,2014-07,7,2014,2,13,brown,yellow
1 year,A666594,Bird,parakeet,green,2012-11-04 00:00:00,2013-11-10 16:36:00,2013-11-10 16:36:00,,Partner,Transfer,Intact Male,371,False,2012,11,2013-11,11,2013,6,16,green,
2 years,A677677,Bird,bantam,white,2012-04-25 00:00:00,2014-04-29 11:29:00,2014-04-29 11:29:00,,,Adoption,Intact Male,734,False,2012,4,2014-04,4,2014,1,11,white,
2 weeks,A680862,Bird,duck,yellow/black,2014-05-25 00:00:00,2014-06-10 00:00:00,2014-06-10 00:00:00,,Partner,Transfer,Unknown,16,True,2014,5,2014-06,6,2014,1,0,yellow,black
1 year,A674618,Bird,lark,brown/black,2013-03-15 00:00:00,2014-03-15 17:54:00,2014-03-15 17:54:00,,Suffering,Euthanasia,Unknown,365,True,2013,3,2014-03,3,2014,5,17,brown,black
6 months,A687623,Bird,chicken,brown,2014-03-07 00:00:00,2014-09-18 10:17:00,2014-09-18 10:17:00,,Suffering,Euthanasia,Unknown,195,True,2014,3,2014-09,9,2014,3,10,brown,
2 weeks,A680857,Bird,duck,yellow/black,2014-05-25 00:00:00,2014-06-10 00:00:00,2014-06-10 00:00:00,,Partner,Transfer,Unknown,16,True,2014,5,2014-06,6,2014,1,0,yellow,black
1 year,A694113,Bird,chicken,brown/black,2013-06-20 00:00:00,2014-12-23 00:00:00,2014-12-23 00:00:00,Rooster,Partner,Transfer,Intact Male,551,False,2013,6,2014-12,12,2014,1,0,brown,black
2 weeks,A680861,Bird,duck,yellow/black,2014-05-25 00:00:00,2014-06-10 00:00:00,2014-06-10 00:00:00,,Partner,Transfer,Unknown,16,True,2014,5,2014-06,6,2014,1,0,yellow,black
3 weeks,A683414,Bird,sparrow,brown/black,2014-06-18 00:00:00,2014-07-10 16:43:00,2014-07-10 16:43:00,,Partner,Transfer,Unknown,22,True,2014,6,2014-07,7,2014,3,16,brown,black
1 year,A690593,Bird,chicken,brown/white,2013-10-23 00:00:00,2014-10-29 11:56:00,2014-10-29 11:56:00,,Partner,Transfer,Intact Female,371,False,2013,10,2014-10,10,2014,2,11,brown,white
4 months,A679700,Bird,parrot,green/white,2014-01-25 00:00:00,2014-05-30 18:24:00,2014-05-30 18:24:00,,,Adoption,Unknown,125,True,2014,1,2014-05,5,2014,4,18,green,white
1 year,A686106,Bird,parrot,green,2013-08-16 00:00:00,2014-08-16 15:29:00,2014-08-16 15:29:00,Polly,Partner,Transfer,Intact Female,365,True,2013,8,2014-08,8,2014,5,15,green,
1 year,A672940,Bird,chicken,red/black,2013-02-18 00:00:00,2014-03-03 12:16:00,2014-03-03 12:16:00,,,Adoption,Intact Male,378,False,2013,2,2014-03,3,2014,0,12,red,black
2 weeks,A680863,Bird,duck,yellow/black,2014-05-25 00:00:00,2014-06-10 00:00:00,2014-06-10 00:00:00,,Partner,Transfer,Unknown,16,True,2014,5,2014-06,6,2014,1,0,yellow,black
3 weeks,A674004,Bird,duck,yellow,2014-02-11 00:00:00,2014-03-06 12:28:00,2014-03-06 12:28:00,,Partner,Transfer,Unknown,23,True,2014,2,2014-03,3,2014,3,12,yellow,
3 weeks,A674005,Bird,duck,yellow,2014-02-11 00:00:00,2014-03-06 12:28:00,2014-03-06 12:28:00,,Partner,Transfer,Unknown,23,True,2014,2,2014-03,3,2014,3,12,yellow,
2 years,A687087,Bird,dove,gray/white,2012-08-31 00:00:00,2014-08-31 11:17:00,2014-08-31 11:17:00,,Suffering,Euthanasia,Unknown,730,False,2012,8,2014-08,8,2014,6,11,gray,white
2 weeks,A680859,Bird,duck,yellow/black,2014-05-25 00:00:00,2014-06-10 00:00:00,2014-06-10 00:00:00,,Partner,Transfer,Unknown,16,True,2014,5,2014-06,6,2014,1,0,yellow,black
2 months,A688000,Bird,bantam,white,2014-07-12 00:00:00,2014-09-17 00:00:00,2014-09-17 00:00:00,,Partner,Transfer,Unknown,67,True,2014,7,2014-09,9,2014,2,0,white,
2 weeks,A684023,Bird,nuthatch,brown,2014-07-03 00:00:00,2014-07-18 15:30:00,2014-07-18 15:30:00,,Partner,Transfer,Unknown,15,True,2014,7,2014-07,7,2014,4,15,brown,
6 months,A687622,Bird,chicken,brown,2014-03-07 00:00:00,2014-09-16 00:00:00,2014-09-16 00:00:00,,Partner,Transfer,Unknown,193,True,2014,3,2014-09,9,2014,1,0,brown,
2 weeks,A680855,Bird,duck,yellow/black,2014-05-25 00:00:00,2014-06-10 00:00:00,2014-06-10 00:00:00,,Partner,Transfer,Unknown,16,True,2014,5,2014-06,6,2014,1,0,yellow,black
1 year,A675979,Bird,duck,white,2013-04-02 00:00:00,2014-04-13 18:18:00,2014-04-13 18:18:00,,In Kennel,Died,Unknown,376,False,2013,4,2014-04,4,2014,6,18,white,
1 year,A686687,Bird,cockatiel,gray/white,2013-08-25 00:00:00,2014-08-29 18:25:00,2014-08-29 18:25:00,,,Adoption,Unknown,369,False,2013,8,2014-08,8,2014,4,18,gray,white
1 year,A666232,Bird,pigeon,gray,2012-10-29 00:00:00,2013-11-03 19:02:00,2013-11-03 19:02:00,,,Adoption,Unknown,370,False,2012,10,2013-11,11,2013,6,19,gray,
4 weeks,A683591,Bird,catbird,brown,2014-06-12 00:00:00,2014-07-12 00:00:00,2014-07-12 00:00:00,,Partner,Transfer,Unknown,30,True,2014,6,2014-07,7,2014,5,0,brown,
1 year,A676676,Bird,duck,brown/tan,2012-10-13 00:00:00,2014-04-14 16:35:00,2014-04-14 16:35:00,,,Relocate,Unknown,548,False,2012,10,2014-04,4,2014,0,16,brown,tan
1 year,A694120,Bird,finch,gray/black,2013-12-20 00:00:00,2014-12-21 18:03:00,2014-12-21 18:03:00,,,Adoption,Unknown,366,False,2013,12,2014-12,12,2014,6,18,gray,black
6 years,A675898,Bird,cockatiel,gray/yellow,2008-04-02 00:00:00,2014-04-26 11:57:00,2014-04-26 11:57:00,Java,Foster,Adoption,Intact Female,2215,False,2008,4,2014-04,4,2014,5,11,gray,yellow
1 year,A666593,Bird,parakeet,blue,2012-11-04 00:00:00,2013-11-10 16:36:00,2013-11-10 16:36:00,,Partner,Transfer,Intact Male,371,False,2012,11,2013-11,11,2013,6,16,blue,
1 year,A694121,Bird,finch,white/gray,2013-12-20 00:00:00,2014-12-21 18:03:00,2014-12-21 18:03:00,,,Adoption,Unknown,366,False,2013,12,2014-12,12,2014,6,18,white,gray
1 year,A668106,Bird,rhode island,yellow/black,2012-11-27 00:00:00,2013-12-01 03:15:00,2013-12-01 03:15:00,,Suffering,Euthanasia,Intact Male,369,False,2012,11,2013-12,12,2013,6,3,yellow,black
1 year,A679125,Bird,lovebird,white,2013-05-16 00:00:00,2014-05-28 16:22:00,2014-05-28 16:22:00,,,Adoption,Unknown,377,False,2013,5,2014-05,5,2014,2,16,white,
2 years,A677505,Bird,bantam,white,2012-04-25 00:00:00,2014-05-06 18:40:00,2014-05-06 18:40:00,,,Adoption,Intact Male,741,False,2012,4,2014-05,5,2014,1,18,white,
1 year,A672939,Bird,chicken,red/black,2013-02-18 00:00:00,2014-03-03 12:16:00,2014-03-03 12:16:00,,,Adoption,Intact Male,378,False,2013,2,2014-03,3,2014,0,12,red,black
1 year,A672387,Bird,chicken,brown/red,2013-02-09 00:00:00,2014-02-09 12:13:00,2014-02-09 12:13:00,,Suffering,Euthanasia,Intact Female,365,True,2013,2,2014-02,2,2014,6,12,brown,red
1 year,A687629,Bird,chicken,brown/black,2013-09-08 00:00:00,2014-09-12 15:00:00,2014-09-12 15:00:00,,Suffering,Euthanasia,Unknown,369,False,2013,9,2014-09,9,2014,4,15,brown,black
2 weeks,A680858,Bird,duck,yellow/black,2014-05-25 00:00:00,2014-06-10 00:00:00,2014-06-10 00:00:00,,Partner,Transfer,Unknown,16,True,2014,5,2014-06,6,2014,1,0,yellow,black
2 weeks,A683693,Bird,grackle,black/white,2014-06-29 00:00:00,2014-07-14 00:00:00,2014-07-14 00:00:00,,Partner,Transfer,Unknown,15,True,2014,6,2014-07,7,2014,0,0,black,white
5 years,A693850,Bird,duck,black/green,2009-12-15 00:00:00,2014-12-18 10:49:00,2014-12-18 10:49:00,,Partner,Transfer,Intact Female,1829,False,2009,12,2014-12,12,2014,3,10,black,green
1 year,A678507,Bird,parakeet,green/yellow,2013-05-09 00:00:00,2014-05-13 08:00:00,2014-05-13 08:00:00,,Partner,Transfer,Unknown,369,False,2013,5,2014-05,5,2014,1,8,green,yellow
1 year,A672342,Bird,chicken,red/black,2013-02-08 00:00:00,2014-02-08 15:57:00,2014-02-08 15:57:00,,Suffering,Euthanasia,Intact Male,365,True,2013,2,2014-02,2,2014,5,15,red,black
1 year,A693590,Bird,chicken,red/green,2013-12-11 00:00:00,2014-12-19 15:37:00,2014-12-19 15:37:00,,,Adoption,Intact Male,373,False,2013,12,2014-12,12,2014,4,15,red,green
6 months,A687621,Bird,chicken,brown,2014-03-07 00:00:00,2014-09-16 00:00:00,2014-09-16 00:00:00,,Partner,Transfer,Unknown,193,True,2014,3,2014-09,9,2014,1,0,brown,
1 year,A685204,Bird,quaker,green/blue,2013-08-04 00:00:00,2014-08-04 16:01:00,2014-08-04 16:01:00,,Partner,Transfer,Unknown,365,True,2013,8,2014-08,8,2014,0,16,green,blue
1 year,A672941,Bird,chicken,red/black,2013-02-18 00:00:00,2014-03-03 12:17:00,2014-03-03 12:17:00,,,Adoption,Intact Male,378,False,2013,2,2014-03,3,2014,0,12,red,black
2 months,A688001,Bird,bantam,white,2014-07-12 00:00:00,2014-09-16 00:00:00,2014-09-16 00:00:00,,Partner,Transfer,Unknown,66,True,2014,7,2014-09,9,2014,1,0,white,
1 year,A687957,Bird,cockatiel,yellow,2013-09-12 00:00:00,2014-09-12 15:00:00,2014-09-12 15:00:00,,Partner,Transfer,Intact Male,365,True,2013,9,2014-09,9,2014,4,15,yellow,
2 weeks,A680860,Bird,duck,yellow/black,2014-05-25 00:00:00,2014-06-10 00:00:00,2014-06-10 00:00:00,,Partner,Transfer,Unknown,16,True,2014,5,2014-06,6,2014,1,0,yellow,black
2 months,A688002,Bird,bantam,white,2014-07-12 00:00:00,2014-09-16 00:00:00,2014-09-16 00:00:00,,Partner,Transfer,Unknown,66,True,2014,7,2014-09,9,2014,1,0,white,
1 month,A685473,Bird,dove,brown,2014-06-08 00:00:00,2014-08-08 19:24:00,2014-08-08 19:24:00,,Partner,Transfer,Unknown,61,True,2014,6,2014-08,8,2014,4,19,brown,
1 year,A676942,Bird,chicken,gold,2013-04-17 00:00:00,2014-04-21 13:27:00,2014-04-21 13:27:00,,Partner,Transfer,Intact Male,369,False,2013,4,2014-04,4,2014,0,13,gold,
1 year,A668105,Bird,rhode island,yellow/black,2012-11-27 00:00:00,2013-12-01 03:15:00,2013-12-01 03:15:00,,Suffering,Euthanasia,Intact Male,369,False,2012,11,2013-12,12,2013,6,3,yellow,black
5 months,A686222,Bird,silkie,black,2014-03-13 00:00:00,2014-08-20 00:00:00,2014-08-20 00:00:00,,Partner,Transfer,Intact Male,160,True,2014,3,2014-08,8,2014,2,0,black,
2 years,A677676,Bird,bantam,white,2012-04-25 00:00:00,2014-05-06 18:40:00,2014-05-06 18:40:00,,,Adoption,Intact Male,741,False,2012,4,2014-05,5,2014,1,18,white,
1 year,A694123,Bird,parakeet,green,2013-12-20 00:00:00,2014-12-26 14:31:00,2014-12-26 14:31:00,,,Adoption,Intact Female,371,False,2013,12,2014-12,12,2014,4,14,green,
2 years,A695478,Bird,guinea,brown/white,2013-01-16 00:00:00,2015-01-26 10:54:00,2015-01-26 10:54:00,,,Adoption,Intact Male,740,False,2013,1,2015-01,1,2015,0,10,brown,white
2 years,A698583,Bird,quaker,green,2013-03-14 00:00:00,2015-03-14 17:52:00,2015-03-14 17:52:00,Precious,,Return to Owner,Intact Female,730,False,2013,3,2015-03,3,2015,5,17,green,
1 year,A699037,Bird,pigeon,white/black,2014-03-21 00:00:00,2015-03-25 07:51:00,2015-03-25 07:51:00,,Partner,Transfer,Unknown,369,False,2014,3,2015-03,3,2015,2,7,white,black
2 years,A695477,Bird,turkey,brown/white,2013-01-16 00:00:00,2015-01-27 10:39:00,2015-01-27 10:39:00,,,Adoption,Intact Female,741,False,2013,1,2015-01,1,2015,1,10,brown,white
1 year,A697828,Bird,chicken,white/brown,2014-03-01 00:00:00,2015-03-01 16:54:00,2015-03-01 16:54:00,,Suffering,Euthanasia,Unknown,365,True,2014,3,2015-03,3,2015,6,16,white,brown
1 year,A698147,Bird,parakeet,yellow,2014-03-06 00:00:00,2015-03-27 07:39:00,2015-03-27 07:39:00,,Foster,Adoption,Intact Male,386,False,2014,3,2015-03,3,2015,4,7,yellow,
1 year,A699665,Bird,parakeet,yellow,2014-03-31 00:00:00,2015-04-01 00:00:00,2015-04-01 00:00:00,Lemon,Partner,Transfer,Unknown,366,False,2014,3,2015-04,4,2015,2,0,yellow,
2 years,A695476,Bird,turkey,brown/white,2013-01-16 00:00:00,2015-01-26 10:53:00,2015-01-26 10:53:00,,,Adoption,Intact Male,740,False,2013,1,2015-01,1,2015,0,10,brown,white
1 year,A697267,Bird,chicken,red,2013-08-20 00:00:00,2015-02-20 17:18:00,2015-02-20 17:18:00,,Suffering,Euthanasia,Unknown,549,False,2013,8,2015-02,2,2015,4,17,red,
2 years,A695851,Bird,chicken,red/black,2013-01-24 00:00:00,2015-01-24 13:45:00,2015-01-24 13:45:00,,Suffering,Euthanasia,Unknown,730,False,2013,1,2015-01,1,2015,5,13,red,black
1 year,A694122,Bird,parakeet,white,2013-12-20 00:00:00,2014-12-26 14:30:00,2014-12-26 14:30:00,,,Adoption,Intact Female,371,False,2013,12,2014-12,12,2014,4,14,white,
1 year,A720750,Bird,chicken,white,2015-02-14 00:00:00,2016-03-09 10:57:00,2016-03-09 10:57:00,Rooster  D 4,,Disposal,Intact Male,389,False,2015,2,2016-03,3,2016,2,10,white,
2 years,A755543,Bird,dove,gray,2015-08-04 00:00:00,2017-08-04 16:16:00,2017-08-04 16:16:00,,Suffering,Euthanasia,Unknown,731,False,2015,8,2017-08,8,2017,4,16,gray,
6 months,A736675,Bird,chicken,black/white,2016-04-15 00:00:00,2016-10-15 13:36:00,2016-10-15 13:36:00,,Suffering,Euthanasia,Unknown,183,True,2016,4,2016-10,10,2016,5,13,black,white
2 years,A754474,Bird,muscovy,tricolor,2015-07-21 00:00:00,2017-07-31 16:34:00,2017-07-31 16:34:00,*Elvis,,Adoption,Unknown,741,False,2015,7,2017-07,7,2017,0,16,tricolor,
1 year,A748938,Bird,chicken,buff,2016-05-08 00:00:00,2017-05-12 18:36:00,2017-05-12 18:36:00,,Suffering,Euthanasia,Intact Male,369,False,2016,5,2017-05,5,2017,4,18,buff,
6 months,A724264,Bird,dove,gray,2015-10-14 00:00:00,2016-04-18 12:06:00,2016-04-18 12:06:00,,,Died,Unknown,187,True,2015,10,2016-04,4,2016,0,12,gray,
4 months,A724460,Bird,duck,white,2015-12-17 00:00:00,2016-04-27 17:36:00,2016-04-27 17:36:00,Daffy,Foster,Adoption,Intact Female,132,True,2015,12,2016-04,4,2016,2,17,white,
1 year,A722603,Bird,chicken,white/tan,2015-03-19 00:00:00,2016-04-16 00:00:00,2016-04-16 00:00:00,,,Adoption,Intact Male,394,False,2015,3,2016-04,4,2016,5,0,white,tan
1 year,A726104,Bird,grackle,black,2015-05-06 00:00:00,2016-05-06 13:39:00,2016-05-06 13:39:00,,Suffering,Euthanasia,Unknown,366,False,2015,5,2016-05,5,2016,4,13,black,
1 year,A739190,Bird,turkey,black/red,2015-11-29 00:00:00,2016-11-29 18:03:00,2016-11-29 18:03:00,Rogers,,Return to Owner,Intact Female,366,False,2015,11,2016-11,11,2016,1,18,black,red
4 weeks,A754443,Bird,sparrow,gray/black,2017-06-21 00:00:00,2017-07-21 10:40:00,2017-07-21 10:40:00,,Underage,Euthanasia,Unknown,30,True,2017,6,2017-07,7,2017,4,10,gray,black
1 year,A713039,Bird,parrot,green/yellow,2014-10-02 00:00:00,2015-10-06 14:36:00,2015-10-06 14:36:00,,,Adoption,Unknown,369,False,2014,10,2015-10,10,2015,1,14,green,yellow
1 year,A700902,Bird,dove,gray/blue,2014-04-21 00:00:00,2015-04-21 12:41:00,2015-04-21 12:41:00,,Partner,Transfer,Unknown,365,True,2014,4,2015-04,4,2015,1,12,gray,blue
1 year,A722604,Bird,chicken,yellow,2015-03-19 00:00:00,2016-05-04 14:45:00,2016-05-04 14:45:00,,,Adoption,Intact Male,412,False,2015,3,2016-05,5,2016,2,14,yellow,
1 weeks,A761977,Bird,chicken,brown,2017-11-05 00:00:00,2017-11-13 16:03:00,2017-11-13 16:03:00,,Partner,Transfer,Unknown,8,True,2017,11,2017-11,11,2017,0,16,brown,
1 year,A723996,Bird,parakeet,blue/gray,2015-04-10 00:00:00,2016-04-17 11:36:00,2016-04-17 11:36:00,*Lemon Head,,Adoption,Unknown,373,False,2015,4,2016-04,4,2016,6,11,blue,gray
1 year,A760696,Bird,duck,black/white,2016-10-22 00:00:00,2017-10-27 07:23:00,2017-10-27 07:23:00,,Partner,Transfer,Unknown,370,False,2016,10,2017-10,10,2017,4,7,black,white
1 year,A720738,Bird,chicken,black/chocolate,2015-02-14 00:00:00,2016-03-08 19:57:00,2016-03-08 19:57:00,Rooster 22,,Adoption,Intact Male,388,False,2015,2,2016-03,3,2016,1,19,black,chocolate
2 years,A757067,Bird,grackle,black,2015-08-29 00:00:00,2017-08-29 00:00:00,2017-08-29 00:00:00,,Partner,Transfer,Unknown,731,False,2015,8,2017-08,8,2017,1,0,black,
5 years,A727224,Bird,peafowl,brown/green,2011-05-20 00:00:00,2016-06-12 09:39:00,2016-06-12 09:39:00,,Foster,Adoption,Intact Female,1850,False,2011,5,2016-06,6,2016,6,9,brown,green
1 month,A724777,Bird,dove,gray/white,2016-02-21 00:00:00,2016-04-21 17:41:00,2016-04-21 17:41:00,,Suffering,Euthanasia,Unknown,60,True,2016,2,2016-04,4,2016,3,17,gray,white
1 year,A734521,Bird,cockatoo,white,2015-09-08 00:00:00,2016-09-14 12:40:00,2016-09-14 12:40:00,,Foster,Adoption,Unknown,372,False,2015,9,2016-09,9,2016,2,12,white,
9 months,A715603,Bird,chicken,black/white,2015-01-06 00:00:00,2015-11-06 15:43:00,2015-11-06 15:43:00,,Suffering,Euthanasia,Intact Female,304,True,2015,1,2015-11,11,2015,4,15,black,white
1 year,A754759,Bird,parakeet,blue,2016-07-24 00:00:00,2017-07-28 11:24:00,2017-07-28 11:24:00,,,Adoption,Unknown,369,False,2016,7,2017-07,7,2017,4,11,blue,
1 year,A747816,Bird,parakeet,green/yellow,2016-04-25 00:00:00,2017-05-01 14:55:00,2017-05-01 14:55:00,,,Adoption,Intact Female,371,False,2016,4,2017-05,5,2017,0,14,green,yellow
2 years,A719013,Bird,hawk,brown/yellow,2014-01-11 00:00:00,2016-01-17 18:01:00,2016-01-17 18:01:00,,Suffering,Euthanasia,Unknown,736,False,2014,1,2016-01,1,2016,6,18,brown,yellow
1 year,A733487,Bird,dove,gray,2015-08-22 00:00:00,2016-08-22 16:05:00,2016-08-22 16:05:00,,Medical,Euthanasia,Unknown,366,False,2015,8,2016-08,8,2016,0,16,gray,
1 year,A738841,Bird,dove,brown/black,2015-11-22 00:00:00,2016-11-22 10:53:00,2016-11-22 10:53:00,,Suffering,Euthanasia,Unknown,366,False,2015,11,2016-11,11,2016,1,10,brown,black
4 years,A733024,Bird,cockatoo,white/yellow,2012-08-16 00:00:00,2016-08-18 09:21:00,2016-08-18 09:21:00,Cabana,,Adoption,Intact Female,1463,False,2012,8,2016-08,8,2016,3,9,white,yellow
5 months,A757762,Bird,duck,white/black,2017-04-06 00:00:00,2017-09-07 00:00:00,2017-09-07 00:00:00,,Partner,Transfer,Unknown,154,True,2017,4,2017-09,9,2017,3,0,white,black
6 months,A731060,Bird,chicken,orange,2016-01-15 00:00:00,2016-07-28 00:00:00,2016-07-28 00:00:00,,Partner,Transfer,Intact Male,195,True,2016,1,2016-07,7,2016,3,0,orange,
1 year,A720736,Bird,chicken,black/cream,2015-02-14 00:00:00,2016-03-09 19:31:00,2016-03-09 19:31:00,Rooster 20,Suffering,Euthanasia,Intact Male,389,False,2015,2,2016-03,3,2016,2,19,black,cream
1 year,A749173,Bird,mockingbird,tan/white,2016-05-11 00:00:00,2017-05-22 19:44:00,2017-05-22 19:44:00,,,Euthanasia,Unknown,376,False,2016,5,2017-05,5,2017,0,19,tan,white
4 years,A725289,Bird,vulture,black,2012-04-27 00:00:00,2016-04-27 17:50:00,2016-04-27 17:50:00,,Suffering,Euthanasia,Unknown,1461,False,2012,4,2016-04,4,2016,2,17,black,
1 year,A722598,Bird,chicken,red,2015-03-19 00:00:00,2016-04-10 18:23:00,2016-04-10 18:23:00,,Suffering,Euthanasia,Intact Male,388,False,2015,3,2016-04,4,2016,6,18,red,
1 year,A753733,Bird,grackle,black,2016-07-10 00:00:00,2017-07-10 17:57:00,2017-07-10 17:57:00,,,Disposal,Unknown,365,True,2016,7,2017-07,7,2017,0,17,black,
4 weeks,A727380,Bird,owl,brown/gray,2016-04-21 00:00:00,2016-05-21 15:39:00,2016-05-21 15:39:00,,Suffering,Euthanasia,Unknown,30,True,2016,4,2016-05,5,2016,5,15,brown,gray
1 year,A726038,Bird,chicken,black/red,2015-05-05 00:00:00,2016-05-10 14:24:00,2016-05-10 14:24:00,,,Adoption,Unknown,371,False,2015,5,2016-05,5,2016,1,14,black,red
1 year,A745701,Bird,grackle,black,2016-03-22 00:00:00,2017-03-22 15:34:00,2017-03-22 15:34:00,,Suffering,Euthanasia,Intact Male,365,True,2016,3,2017-03,3,2017,2,15,black,
6 months,A761030,Bird,chicken,brown,2017-04-27 00:00:00,2017-10-31 00:00:00,2017-10-31 00:00:00,Taffy,Partner,Transfer,Intact Male,187,True,2017,4,2017-10,10,2017,1,0,brown,
2 months,A703445,Bird,dove,gray,2015-02-24 00:00:00,2015-05-24 12:00:00,2015-05-24 12:00:00,,Partner,Transfer,Unknown,89,True,2015,2,2015-05,5,2015,6,12,gray,
2 weeks,A752206,Bird,duck,yellow,2017-06-04 00:00:00,2017-06-23 15:36:00,2017-06-23 15:36:00,,,Adoption,Unknown,19,True,2017,6,2017-06,6,2017,4,15,yellow,
